open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
23.53,25.88,24.16,23.53,95578.03,0.63,2.68,22.942,22.142,22.875,53782.64,46738.65,55576.11,2.39
22.8,23.78,23.53,22.8,60985.11,0.69,3.02,22.406,21.955,22.942,40827.52,42736.34,56007.5,1.53
22.88,23.37,22.82,22.71,52914.01,0.54,2.42,21.938,21.929,23.022,35119.58,41871.97,56372.85,1.32
22.25,22.76,22.28,22.02,36105.01,0.36,1.64,21.446,21.909,23.137,35397.58,39904.78,60149.6,0.9
21.49,21.99,21.92,21.48,23331.04,0.44,2.05,21.366,21.923,23.253,33590.21,42935.74,61716.11,0.58
21.4,21.9,21.48,21.31,30802.45,0.28,1.32,21.342,22.103,23.387,39694.65,45518.14,65161.68,0.77
20.7,21.4,21.19,20.63,32445.39,0.82,4.03,21.504,22.338,23.533,44645.16,45679.94,68686.33,0.81
21.2,21.46,20.36,20.19,54304.01,-1.5,-6.86,21.92,22.596,23.645,48624.36,48982.38,70552.47,1.36
21.79,22.09,21.88,21.75,27068.16,0.09,0.41,22.372,23.009,23.839,44411.98,48612.16,73852.45,0.68
22.69,23.11,21.8,21.29,53853.25,-0.5,-2.24,22.48,23.258,23.929,52281.28,56315.11,74925.33,1.35
